id,content,first_options,first_options,first_options,first_options,second_options,second_options,second_options,second_options
1,是否能将%{FIRST}裁剪成烟花，一刹那便可望尽%{SECOND}？,爱情,岁月,流年,光阴,繁华,荒凉,旖旎,缱绻
2,手捧%{FIRST}，置身花海，仿佛%{SECOND},一泓清泉,一捻丁香,素染轻纱,墨染书香,天地澈净通明,天光围绕,岁月干涸,万物无尘
3,穿过迷雾仙境的%{FIRST}，就能抵达平城最美的%{SECOND}。,影墙,小溪,大桥,森林,落星湖,凤归巢,栖霞山,不归崖
4,细雨过处过处，大魏%{FIRST}，%{SECOND}。,锦绣河山,山明水秀,天朗气清,纤尘不染,可踏芳归,当醉枫林,梨花雨落,琴扬凤鸣
5,%{FIRST}年不归，瘦尽%{SECOND}。,十,九,八,七,灯花,新桃,旧符,阑干
6,君%{FIRST}？妾身一身寄%{SECOND}。,可知,归否,安在,心在,东风,风尘,朝露,落红
7,年年%{FIRST}，%{SECOND}。,宫墙柳,藤黄酒,青纱帐,梁燕呢喃,少年游,深闺怨,华发染,思君归
8,所谓%{FIRST}，皆%{SECOND}。,情仇,爱恨,念忘,得失,化尘土,两相忘,缘起缘灭,付流水
9,%{FIRST}相称，李长乐琴下%{SECOND}。,皑皑白雪,苍茫荒漠,无垠之海,十里桃林,万物皆寐,杀机四起,波澜不惊,灵动四方
10,%{FIRST}可是这平城数一数二的%{SECOND}。,李长乐,李常茹,李未央,李常喜,美人,才女,华族,红粉佳人
11,虽偶有%{FIRST}，但总归%{SECOND}。,轻风细雨,前路坎坷,疾风骤雨,滂沱大雨,晴天朗照,风朗云清,雨过天晴,万象一新
12,目送%{FIRST}，手挥%{SECOND}。 ,归鸿,梁燕,惊鸿,天穹,五弦,七弦,弦音,拂尘
13,%{FIRST}是一只藏在黑暗中的温柔的手，在你一出神一恍惚之间，%{SECOND}。,时间,幸福,记忆,光阴,物走星移,沧海桑田,星移物换,天地轮转
14,所谓%{FIRST}，就是知道对方%{SECOND}的地方的痛处，痛在哪里。,了解,理解,感动,温暖,心灵最深,灵魂最深,记忆最深,情感最深
15,一个人走路，才是你和%{FIRST}之间的%{SECOND}。,风景,自然,天地,万物,单独私会,幽会,亲密接触,和谐之律
16,幸福就是，生活中不必%{FIRST}。幸福就是，%{SECOND}依旧。,时时恐惧,惴惴不安,踌躇不前,忧虑悲思,寻常的人儿,寻常的光景,平常心,喜悦之心
17,沙上有印，风中有%{FIRST}，光中有%{SECOND}。,音,香,雪,絮,影,花,魅,尘
18,凡是出于爱的%{FIRST}都是可以%{SECOND}的。,急切,焦虑,纠结,狂热,原谅,谅解,理解,体谅
19,醒来，方知是梦，%{FIRST}，%{SECOND}。,天色幽幽,月明星稀,月已西沉,更深露重,怅然不已,唏嘘不已,林隐雾浓,草木靡靡
20,时代的车轰轰地往前开，我们坐在车上，经过的也许不过是几条熟悉的%{FIRST}，可在%{SECOND}中也自惊心动魄。,街衢,小溪,溪涧,街道,漫天的火光,萤火点点,疾风暴雨,流火漫天
21,你我还会这样%{FIRST}吗？我们会不会，像风中转蓬一样，各自滚向渺茫，相忘于人生的%{SECOND}。,相聚,重逢,再会,重聚,荒漠,街角,站台,十字路口
22,只能想象，他的%{FIRST}和我的一样%{SECOND}，但是，我进不去。,内在世界,内心深处,思绪,情感,波涛深邃,波涛汹涌,波澜不已,惊涛骇浪
23,如果心头在旋转着熟识的芳菲，模糊如同小径越过%{FIRST}，纷纭的%{SECOND}，草看弄得人昏迷，今日的脚步，再不甘重踏上前时的泥沙。,无数篱笆,花园,废弃的院子,密林,花叶枝条,繁花茂叶,藤蔓,爬山虎
24,谁爱这不息的变幻，她的行径？催一阵急雨，抹一天云霞，月亮，星光，日影，在在都是她的花样，更不容%{FIRST}与%{SECOND}偷一刻安定。,峰峦,山峦,山峰,苍峦,江海,汪洋,浩海,蜃海
25,我们夜宿%{FIRST}，仰首静观檐底黑影，看凉月出没云底，%{SECOND}时隐时现，人工自然，悠然溶合入梦，滋味深长。,廊下,山亭,檐下,山寺,星斗,星辉,繁星,星海
26,埋下一些美好的种子，只为%{FIRST}；许下一些美好的愿望，等待%{SECOND}。,心安,发芽,安心,萌发,继续,成真,来临,实现
27,渺小的日子也要有一点%{FIRST}，像个%{SECOND}失落在街边。,想念,念想,思念,怀念,灵魂,幽魂,游魂,幽灵
28,生命早描定她的式样，太%{FIRST}，是人们美丽的%{SECOND}。,薄弱,坚强,柔弱,矜持,想象,误会,臆想,误解
